Process,Material_mean,Material_std,Equipment_mean,Equipment_std,Labor_mean,Labor_std,Facility_mean,Facility_std,Utilities_mean,Utilities_std,Consumables_mean,Consumables_std,Overhead_mean,Overhead_std,Total_mean,Total_std
Assembly,0.0,0.0,0.0,0.0,57.97159768325131,16.773974308080795,0.2662450147487288,0.029006633061311328,0.0,0.0,0.0,0.0,58.345578487861296,10.664204067079226,116.58342118586134,26.290568935051574
Die Cutting Film,0.0,0.0,1.753845344642755,0.25902295195340796,45.63698315712647,23.523493266069607,0.7819111770930421,0.09078041206407551,1.0936825401259511,0.126977276407579,10.154246159151901,5.05916618172845,58.90879737267364,18.163693240287103,118.32946575081377,41.636044382403625
Gluing,0.0,0.0,1.103335431508739,0.2750637896447106,1.182883110975014,0.3301740410979002,0.05431765894742459,0.004263991604484894,0.018993933374943137,0.001491043134338599,2.9743223938278294,0.5434172461000781,5.50707965110562,0.913256697484539,10.84093217973957,1.3415475734391875
Injection Molding Endcap,3.0512410254912012,0.1330790363992863,0.29696090734448927,0.046363653440949656,0.10075231786992692,0.028937652734966998,0.008348005768644818,0.0008547627097616683,0.08165514920065636,0.0083607724444681,0.22187892907053083,0.041318077935393535,0.7339986237772358,0.11265630709673485,4.494834958522685,0.222389365898668
Injection Molding Header,22.24310486698658,0.9701268885339288,0.2970579512780743,0.046395881082395854,0.10116200268153416,0.029990178745057897,0.008362247989575841,0.000870800371256497,0.08179445800174028,0.00851764316047893,0.22187892907053083,0.041318077935393535,0.7345125091091679,0.11212529259453752,23.687872965117204,1.0183056835882978
Injection Molding Plate,260.48864733020446,11.361140562167325,18.5566731160278,2.8960027821277494,6.292729049062721,1.8236919295121559,0.5212422015857266,0.055314018913132895,5.098476321138249,0.5410483164978709,13.867433066908177,2.582379870962097,45.85244838495106,7.018733622954219,350.6776494698782,16.49623767312279
Total,285.7829932226822,12.464346487100519,22.007872750801855,3.0272485256639476,111.28610732096699,35.52878280222776,1.6404263061331428,0.12310694941089119,6.37460240184154,0.5765943512856372,27.439759478028968,5.987675016782181,170.08241502947803,15.69645406654004,624.6141765099327,52.365692795342945
