Process,Equipment,Labor,Facility,Utilities,Consumables,Overhead,Total
Injection Molding Plate,13.722472412968,8.828635620915033,1.1226851851851851,1.0648822916666667,11.25,63.8079870991911,99.79666260992599
Injection Molding Header,0.219559558607488,0.14125816993464058,0.017962962962962962,0.017038116666666662,0.18,1.0209277935870578,1.5967466017588159
Injection Molding Endcap,0.219559558607488,0.14125816993464058,0.017962962962962962,0.017038116666666662,0.18,1.0209277935870578,1.5967466017588159
Die Cutting Film,1.5014139224051335,13.873570261437912,0.7718460648148148,1.0796041666666667,0.0,30.542499531837976,47.7689339471625
IM plate and film gluing,1.2828815041713049,0.0,0.49117476851851843,0.17175520833333333,2.479023646071701,7.845240723613141,12.270075850707999
Assembly,5.37384194263347,2.5224673202614385,0.32076719576719576,0.028041666666666663,0.0,14.618609423827113,22.863727549155882
Material,0.0,0.0,0.0,0.0,0.0,0.0,67.5
Total,22.31972889939288,25.507189542483665,2.7423991402116403,2.3783595666666666,14.0890236460717,118.85619236564345,253.39289316047
