Component,mean,std,min,max
Material,85.31771531999712,3.695946561279834,75.36111891815469,96.89415541105986
Equipment,22.088666867501143,2.960706780147145,15.878349608802635,31.105577947737878
Labor,111.2954419935877,35.85483830226493,36.05734188859666,240.1864609888176
Facility,1.6385048062005194,0.12237337680676681,1.2771331028847328,2.0701482832668923
Utilities,6.3713153128993865,0.5707712993008525,4.889907915572821,8.08306749007521
Consumables,27.582864511080633,5.723047884917705,17.302476145593666,50.61792643405697
Overhead,169.91829128850773,16.086466612594812,132.98067514796548,222.28365961116035
Total,424.21280009977426,50.1315783173459,293.79891642988554,607.2044671752991
