Process,Material_mean,Material_std,Material_min,Material_max,Equipment_mean,Equipment_std,Equipment_min,Equipment_max,Labor_mean,Labor_std,Labor_min,Labor_max,Facility_mean,Facility_std,Facility_min,Facility_max,Utilities_mean,Utilities_std,Utilities_min,Utilities_max,Consumables_mean,Consumables_std,Consumables_min,Consumables_max,Overhead_mean,Overhead_std,Overhead_min,Overhead_max,Total_mean,Total_std,Total_min,Total_max
Assembly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.75067224183947,16.893693141368963,23.639651937459124,120.47941074361417,0.2737925754378712,0.030460816537856383,0.20459966035187896,0.35832712613911794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.56047642181997,7.441872568078839,14.423474237001338,66.71811099697906,93.5849412390973,23.845510381109165,40.258477934466974,187.5517103425291
Die Cutting Film,0.0,0.0,0.0,0.0,1.8110808375891885,0.26911436224834173,1.208267707782474,2.7943718410761655,47.40467210336811,24.82926188680314,6.5790214948732215,139.15407944233206,0.8059332916827745,0.09622781989998389,0.5839362132335216,1.073245283887492,1.127282989989541,0.13459672860831057,0.8167690393365139,1.501180265288108,10.469707318572214,5.1176123749291715,4.669721883023351,28.658337958825747,34.58048418463734,12.934801625773797,9.217881195997364,79.61338823567509,96.19916072583915,37.94624006155942,25.968039203205002,229.37689814365882
Die Cutting IM Plate,0.0,0.0,0.0,0.0,1.810045651745889,0.2677427670249328,1.2178102442613576,2.7590224329048665,47.26455522678472,24.694806886191603,6.714178702105164,140.53102125122209,0.8042576826371002,0.09486910594534113,0.5782938013063333,1.074022098669726,1.124939265521828,0.13269625477860741,0.80887682908329,1.5022668193483781,10.469707318572214,5.1176123749291715,4.669721883023351,28.658337958825747,34.5058539631258,12.871539510651935,8.855635343058706,75.09857503011206,95.97935910838756,37.73632043660665,25.324881926619653,224.8625806456343
Injection Molding Endcap,4.127269636692632,0.24168293762037305,3.423487626357789,4.943543022891027,0.5695826710523103,0.1514593004966288,0.3383553934734528,1.0481105270781865,0.10422659926924971,0.029648452939250353,0.04144439518329191,0.20636023987662291,0.019062550553000098,0.0020432745406274927,0.014306419892155543,0.024655086316747614,0.018081090572636422,0.0019380739178175377,0.013569835427899803,0.023385687425711416,0.4607790639966006,0.08656045350159848,0.308682786715619,0.71014581998883,0.6658805105825407,0.10467024752777798,0.3992105784315701,1.1032232470312537,5.96488212271897,0.39307879106975324,4.819555857893855,7.52722230147959
Injection Molding Header,30.08719749646947,1.76183358873983,24.95672863852127,36.03771218136503,0.5698002415996327,0.15149342085749434,0.33469360238863866,1.0823905027007448,0.10447321623882394,0.029796902622214762,0.0415305252249765,0.20715553320409733,0.019103130415035415,0.002019425605293941,0.014169489210028856,0.02495152009993437,0.01811958112818121,0.0019154528756528007,0.013439954798399472,0.023666858933568503,0.4607790639966006,0.08656045350159848,0.308682786715619,0.71014581998883,0.666181971979362,0.10462819683813085,0.4030488012107799,1.0978631230302012,31.92565470182711,1.8335221639862012,26.348610015940938,38.499644434571564
Injection Molding Plate,56.07703310723684,3.2837355654942146,46.51477753203517,67.16770411536721,35.60286711247827,9.461556373642194,21.110159699949843,65.77758497585931,6.5183360727495625,1.859891852872726,2.4250905040473296,12.902083507074643,1.1921327082995443,0.12752338115240136,0.8843915406968025,1.5321323637545496,1.1307542195592521,0.12095767553951602,0.838857502544207,1.4532485546092706,28.79869149978754,5.410028343849903,19.292674169726183,44.384113749301875,41.620166359251016,6.51942004905601,24.42346281344827,68.85083486319449,170.93998107936204,17.440879767401782,129.57245092958328,238.8873100788582
Laser Welding,0.0,0.0,0.0,0.0,88.47409672816843,16.88653497911753,51.10512276824068,142.43216620153248,11.310231931330895,3.268579536490116,4.565540498731868,22.461939598358903,2.0677344551979386,0.23545252324121485,1.5174598509492443,2.6931536237082816,5.42287875253221,0.6175021566744899,3.979718364148268,7.063114669583963,0.0,0.0,0.0,0.0,60.77032173088604,8.937112660148859,35.72113472440096,95.23829529778295,168.0452635981155,24.547992787089452,109.51625967486298,244.6466410866131
Total,90.29150024039895,5.287252091854397,74.89499379691422,108.14895931962326,128.8374732426337,19.92002543473045,78.92459544412995,202.6490502019315,172.4571673915808,60.59619692827087,49.94392185170208,391.12335702969796,5.182016394223264,0.36243833794699726,4.027855567529188,6.586829035294702,8.842055899303649,0.7233154164688349,6.832301501922782,11.292618758566654,50.65966426492517,11.769908173033317,30.1121354542822,100.82431374951594,206.36936514228205,27.236048671735556,154.81833744718,290.25414630737527,662.6392425753476,89.15074582274032,446.65746508107026,981.0141183893427
