Process,Material_mean,Material_std,Equipment_mean,Equipment_std,Labor_mean,Labor_std,Facility_mean,Facility_std,Utilities_mean,Utilities_std,Consumables_mean,Consumables_std,Overhead_mean,Overhead_std,Total_mean,Total_std
Assembly,0.0,0.0,0.0,0.0,57.538019650444184,16.091739955179474,0.2660271360580883,0.029540687460161603,0.0,0.0,0.0,0.0,57.935615942343645,10.66317586281485,115.73966272884593,25.667466151852278
Die Cutting Film,0.0,0.0,1.7683311175761218,0.25610040481915064,45.62927943848085,23.635910850456554,0.7852413781358715,0.09249434203294081,1.0983405918872682,0.12937460149623603,10.30218089068019,5.032149868939389,59.13897159755425,18.457588384421175,118.72234501431456,41.73605098606254
Gluing,0.0,0.0,1.1128984857926651,0.2821900842170832,1.1728524070840987,0.31596728151808307,0.054320476767584704,0.004281687670081046,0.018994918717268647,0.0014972311383403423,2.990001509959639,0.5409765710428134,5.508970239719368,0.9068676119114758,10.858038038040624,1.3762847041439579
Injection Molding Endcap,3.054010870340111,0.13481012505841133,0.29809535554545696,0.04510211760738131,0.10003802788180682,0.027780973005981504,0.008328929177579717,0.0008564987950737599,0.08146855351147854,0.008377753782180666,0.22432761262092682,0.04020991226372439,0.7344863571408617,0.11000479012645689,4.5007557062182215,0.2194129962759405
Injection Molding Header,22.263296634508343,0.9827462739765336,0.2979899149550527,0.0448440976971247,0.09992740122399166,0.028492119418159868,0.008313113629311806,0.000875358161409636,0.08131385537286955,0.00856222471028784,0.22432761262092682,0.04020991226372439,0.7340946728329847,0.11034568862437188,23.709263205143483,1.0245486556539283
Injection Molding Plate,260.72511279851034,11.508925984379758,18.63104025354628,2.817431809843083,6.254913771820403,1.770305260421057,0.5205653153614785,0.055374960003707216,5.091855429015671,0.5416444054299108,14.020475788807925,2.513119516482775,45.89886058888995,6.843701121437326,351.14282394595205,16.236403829724424
Total,286.0424203033588,12.626482383414707,22.108355127415578,2.9422524814143594,110.79503069693534,34.845436214223646,1.6427963491299145,0.1264363196444147,6.371973348504556,0.5798798031963939,27.761313414689607,5.780527368996764,169.95099939848106,15.988898301016201,624.6728886385149,52.19820400349045
