Process,Material_mean,Material_std,Equipment_mean,Equipment_std,Labor_mean,Labor_std,Facility_mean,Facility_std,Utilities_mean,Utilities_std,Consumables_mean,Consumables_std,Overhead_mean,Overhead_std,Total_mean,Total_std
Assembly,0.0,0.0,0.0,0.0,58.27821966101672,16.857891293740792,0.26599850156294014,0.02858028293436281,0.0,0.0,0.0,0.0,58.072291224415316,10.924142796501705,116.61650938699498,26.667564555495378
Die Cutting Film,0.0,0.0,1.76004052470006,0.2568186877279203,46.692723253067676,24.0639275934523,0.7800483383540138,0.09173047325724806,1.0910769318885551,0.12830615540236073,10.41282491269359,5.1391682863983155,59.682756556340976,18.57484212254478,120.41947051704487,42.416452599434315
Gluing,0.0,0.0,1.1105199093167166,0.26712490165079916,1.183167348543219,0.3236825799844484,0.054460849260959565,0.004162086559442675,0.019044004518065358,0.0014554087260520408,2.967489760713576,0.5382719931467259,5.453748561161962,0.9066041326630034,10.788430433514499,1.33173271725608
Injection Molding Endcap,3.0531247035737716,0.12888640277038108,0.29603454695388404,0.04652463645313595,0.1019710654037627,0.030136674935660596,0.00834545695677422,0.0008916528469701735,0.08163021826273585,0.008721609480435098,0.2245148857967179,0.04164636502513402,0.7288658642337943,0.11129765304993432,4.49448674118144,0.2258197504829287
Injection Molding Header,22.256836607211696,0.9395631970072715,0.2957813236218219,0.04669284069006507,0.10138596732147116,0.02945511400556643,0.00830851369437764,0.000877108965309984,0.08126886158827332,0.008579350016338883,0.2245148857967179,0.04164636502513402,0.7276256307218285,0.11174457366033452,23.695721789956185,0.9957536067995272
Injection Molding Plate,260.64945952158325,11.0032096568011,18.494549826154735,2.9038560398444764,6.345959662506812,1.826103573009098,0.5204788872328528,0.05421346972358187,5.091010041274736,0.5302834091935439,14.03218036229487,2.602897814070877,45.507349462898745,6.947512037195488,350.640987763946,16.403181438029225
Total,285.9594208323687,12.07165925657875,21.95692613074722,3.0668223064160642,112.70342695785968,35.81158574565196,1.6376405470619182,0.12228243278971296,6.364030057532366,0.5663541775114282,27.86152480729547,5.889137332064877,170.17263729977262,16.18516012288665,626.6556066326381,52.80577948512969
